,Generation,Number of errors,Special training,Counts,ratio of rat counts and errors,percentage of rat counts and special training
0,1,361,1,5,72.2,20.0
1,2,1110,2,22,50.45454545454545,9.090909090909092
2,3,3131,10,49,63.89795918367347,20.408163265306122
3,4,2308,3,42,54.95238095238095,7.142857142857142
4,5,2235,3,42,53.214285714285715,7.142857142857142
5,6,1811,4,44,41.15909090909091,9.090909090909092
6,7,2800,4,64,43.75,6.25
7,8,2659,7,57,46.64912280701754,12.280701754385964
8,9,2014,2,59,34.13559322033898,3.389830508474576
9,10,2370,3,50,47.4,6.0
10,11,3212,3,104,30.884615384615383,2.8846153846153846
11,12,2820,6,69,40.869565217391305,8.695652173913043
12,13,2149,7,49,43.857142857142854,14.285714285714285
13,14,1426,0,87,16.39080459770115,0.0
14,15,2625,2,99,26.515151515151516,2.0202020202020203
15,16,2415,2,100,24.15,2.0
16,17,3547,5,130,27.284615384615385,3.8461538461538463
17,18,4209,10,100,42.09,10.0
18,19,2270,2,100,22.7,2.0
19,20,3160,6,100,31.6,6.0
20,21,2258,3,84,26.88095238095238,3.571428571428571
21,22,2445,2,98,24.948979591836736,2.0408163265306123
22,23,2384,1,99,24.08080808080808,1.0101010101010102
23,24,2257,1,99,22.7979797979798,1.0101010101010102
24,25,2174,2,100,21.74,2.0
25,26,2384,2,100,23.84,2.0
26,27,2023,2,89,22.730337078651687,2.247191011235955
27,28,2388,1,97,24.61855670103093,1.0309278350515463
28,29,2651,2,99,26.77777777777778,2.0202020202020203
29,30,1534,1,49,31.306122448979593,2.0408163265306123
30,31,1663,1,62,26.822580645161292,1.6129032258064515
31,32,2665,4,100,26.65,4.0
32,33,2182,2,80,27.275,2.5
33,34,4206,7,100,42.06,7.000000000000001
34,35,3735,5,99,37.72727272727273,5.05050505050505
35,36,3610,6,100,36.1,6.0
36,37,3924,7,100,39.24,7.000000000000001
37,38,3506,4,100,35.06,4.0
38,39,2775,0,100,27.75,0.0
39,40,2195,1,82,26.76829268292683,1.2195121951219512
40,41,3229,0,131,24.64885496183206,0.0
41,42,3358,3,123,27.30081300813008,2.4390243902439024
42,43,3259,4,121,26.93388429752066,3.3057851239669422
43,44,3093,5,132,23.431818181818183,3.787878787878788
44,45,2662,1,144,18.48611111111111,0.6944444444444444
45,46,3868,3,141,27.43262411347518,2.127659574468085
46,47,3501,3,141,24.829787234042552,2.127659574468085
47,48,2934,0,130,22.56923076923077,0.0
48,49,3608,3,139,25.9568345323741,2.158273381294964
49,50,4511,4,200,22.555,2.0
